Affiliation,Percentage of authors,Authors
"in personal capacity (NetDEF, Inc.)",0.01%,1
In-Q-Tel,0.01%,1
IN-Root-CA Individual Network e.V.,0.01%,1
Incites,0.01%,1
Incognito,0.01%,1
Independant,0.02%,3
Independent,0.68%,90
Independent Consultant,0.14%,18
Independent Contributor,0.05%,6
Independent Identity,0.01%,1
Independent Identity Inc.,0.02%,2
Independent Reseacher,0.01%,1
Independent Research Consultant India,0.01%,1
Independent Researcher,0.02%,3
Independent Submissions,0.01%,1
Independent Submissions Editor,0.01%,1
Independent Submitter,0.01%,1
Independet,0.01%,1
Index Data ApS,0.01%,1
India Institute of Technology,0.01%,1
India Internet Engineering Society,0.01%,1
Indian Institute of Science,0.02%,3
Indian Institute of Technology,0.01%,1
Indirection Network,0.01%,1
Individual,0.47%,62
Individual Consultant,0.01%,1
Individual Contribution,0.01%,1
Individual Contributor,0.29%,39
Industry Network Technology Council,0.02%,2
Indvidual,0.01%,1
IneoQuest Technologies,0.01%,1
INEOVATION,0.01%,1
INESC,0.01%,1
"INESC-ID, Instituto Superior Tecnico",0.02%,2
"INESC-ID, Instituto Superior Tecnico, MIT",0.01%,1
"INESC-ID, Técnico Lisboa",0.02%,2
"INESC-ID, Técnico Lisboa, Blockdaemon",0.01%,1
INESC-ID/INOV,0.02%,2
Inet Technologies,0.01%,1
INET-Consulting,0.01%,1
INETCO Systems,0.01%,1
INEX,0.01%,1
INFINEON,0.01%,1
Infineon Technologies,0.02%,2
Infinera,0.14%,19
Infinera Corp,0.07%,9
Infinera Corp.,0.02%,3
Infinera Corporation,0.05%,7
Infinidat,0.01%,1
Infinite Automata,0.01%,1
Infinite Computing Solutions,0.01%,1
Infinity Networks,0.01%,1
Infinity Networks B.V.,0.01%,1
Info-ZIP,0.01%,1
InfoBeat,0.01%,1
Infoblox,0.02%,3
Infoliance,0.01%,1
Infonet Services Corporation,0.01%,1
InformAsic AB,0.01%,1
Information and Communication,0.01%,1
Information and Communications,0.01%,1
Informed Control,0.01%,1
Informix Software,0.01%,1
Infosys,0.02%,2
Infosys Tech.,0.01%,1
Infosys Technologies,0.05%,7
InfoTeCS,0.05%,7
InfoTeCS JSC,0.01%,1
Init7 (Switzerland),0.01%,1
INITECH,0.01%,1
Inktomi,0.01%,1
Inktomi Corporation,0.02%,2
Inmarsat PLC,0.01%,1
Inmedius,0.01%,1
Inmobi India Pvt.,0.01%,1
InMon Corp.,0.02%,3
Innate,0.01%,1
Inner Mongolia University,0.02%,3
InnoRoute,0.01%,1
Innosoft,0.04%,5
Innosoft International,0.02%,3
Innovium,0.01%,1
Inocybe Technologies,0.01%,1
INR Moscow,0.01%,1
INR/Swsoft,0.01%,1
INRIA,0.38%,50
Inria & Mozilla,0.01%,1
Inria and University of Luxembourg,0.01%,1
Inria Paris-Rocquencourt,0.02%,3
Inria Rennes Bretagne Atlantique,0.01%,1
INRIA Rhone-Alpes,0.02%,3
INRIA Rocquencourt,0.05%,7
INRIA Sophia Antipolis,0.01%,1
INRIA Sophia-Antipolis,0.01%,1
"INRIA, France",0.02%,3
"INRIA, IAB Chair",0.01%,1
INRIA/ENS-Lyon,0.01%,1
INRS-EMT,0.01%,1
INS,0.01%,1
INSA Lyon,0.02%,2
INSA-Lyon,0.02%,3
INSA-Lyon/INRIA,0.01%,1
Inside Products,0.02%,2
INSIDE Secure,0.02%,2
Insieme,0.01%,1
Insieme Networks,0.03%,4
Insigma Techenology,0.01%,1
Inspur,0.02%,3
Institut Eurecom,0.02%,3
Institut Gaspard-Monge,0.01%,1
Institut MINES TELECOM ; IMT Atlantique,0.01%,1
Institut Mines Telecom Atlantique,0.02%,2
Institut Mines Telecom-Telecom Bretagne,0.01%,1
Institut Mines Telecom-Telecom Sud Paris,0.01%,1
Institut MINES TELECOM; IMT Atlantique,0.03%,4
Institut MINES TELECOM; IMT-Atlantique,0.01%,1
Institut National des,0.01%,1
Institut National des Telecommunications,0.01%,1
Institute de Telecomunicacoes,0.01%,1
Institute for Infocomm Research,0.03%,4
"Institute for Network Sciences and Cyberspace, Tsinghua University",0.01%,1
Institute IMDEA Networks,0.02%,3
Institute of Acoustics,0.01%,1
Institute of Computing,0.04%,5
Institute of Computing Technology,0.03%,4
"Institute of Computing Technology, Chinese Academy of Sciences",0.01%,1
"Institute of Embedded Systems, ZHAW",0.01%,1
Institute of Microelectronics of,0.01%,1
Institute of Systems & Information Technologies/KYUSHU,0.01%,1
Institute of Technology,0.01%,1
Institute of Telematics,0.01%,1
Institutional Venture Partners,0.01%,1
Instituto,0.02%,2
Instituto de Telecomunicacoes,0.02%,3
Instituto de Telecomunicacoes Aveiro,0.01%,1
Instituto Nokia de Tecnologia,0.01%,1
Instituto Superior de Engenharia do Porto,0.01%,1
Instituto Tecnologico de,0.01%,1
INT Council,0.02%,2
INT-France,0.01%,1
Intalio,0.01%,1
Intec,0.02%,3
Intec Netcore,0.04%,5
INTEC Systems,0.01%,1
Integral Access,0.02%,2
Integralis,0.01%,1
Integralis Technology,0.01%,1
Integrated Systems,0.01%,1
Integris,0.01%,1
Intel,0.51%,67
Intel Architecture Labs,0.01%,1
Intel ASG,0.01%,1
Intel Corp,0.03%,4
Intel Corp.,0.14%,19
Intel Corperation,0.01%,1
Intel Corporation,0.32%,42
Intel K.K.,0.01%,1
Intel Labs,0.05%,7
Intel Research,0.01%,1
Intel Research Berkeley,0.01%,1
"Intel, Corp.",0.02%,2
IntelliCal,0.01%,1
Intelliden,0.01%,1
Intelliden Corporation,0.01%,1
Inter China,0.02%,2
Inter net Society,0.01%,1
Interactive Instruments,0.01%,1
Intercede,0.01%,1
InterComponentWare AG,0.01%,1
InterCon,0.01%,1
InterConnect Communications,0.01%,1
Interconnect Services B.V.,0.01%,1
InterDigital,0.13%,17
InterDigital Communications,0.10%,13
InterDigital Europe,0.04%,5
InterDigital Europe Limited,0.01%,1
Interisle Consulting,0.01%,1
Interisle Consulting Group,0.01%,1
InterLink Networks,0.02%,2
Interlinux,0.01%,1
Interlinux Engineering,0.01%,1
Internal Revenue Service,0.01%,1
International Business Machines Corp.,0.01%,1
International Computer Science,0.01%,1
International DOI,0.01%,1
International University,0.01%,1
International University Bremen,0.01%,1
International University of Japan,0.01%,1
Internet Architecture Board,0.05%,6
Internet Archive,0.02%,2
Internet Assigned Numbers Authority,0.02%,2
Internet Consulting of Vermont,0.01%,1
Internet Corporation for Assigned Names and Numbers,0.01%,1
INTERNET DRAFT,0.05%,6
Internet Engineering,0.02%,2
Internet Engineering Group,0.01%,1
Internet Engines,0.02%,2
Internet Initiative Japan,0.05%,6
Internet Initiative Japan & Arrcus,0.01%,1
Internet Mail Consortium,0.02%,2
Internet Messaging Technology,0.01%,1
INTERNET MULTIFEED CO.,0.01%,1
Internet Neutral Exchange Association CLG,0.01%,1
internet policy advisors,0.01%,1
Internet Security Research Group,0.02%,2
Internet Security Systems,0.01%,1
Internet Society,0.10%,13
Internet Software Consortium,0.02%,3
Internet Solutions,0.01%,1
Internet Systems Consortium,0.14%,19
"Internet Systems Consortium,",0.01%,1
Internet2,0.05%,6
InternetNZ,0.01%,1
InterNetShare,0.01%,1
InterNetShare.com,0.01%,1
InternetWide.org,0.02%,2
InterNIC,0.02%,3
Interpay Nederland B.V.,0.01%,1
Interpeer gUG,0.01%,1
Interpeer gUG (haftungsbeschraenkt),0.01%,1
Interrupt Sciences,0.01%,1
Intertrust,0.01%,1
InterWorking Labs,0.01%,1
Intesi Group,0.02%,2
Intlnet,0.01%,1
Into Networks,0.01%,1
intoPIX,0.02%,3
intoPIX S.A.,0.02%,3
InTouch N.V.,0.01%,1
Intracom,0.02%,2
Intracom Telecom,0.01%,1
Intransa,0.01%,1
Intuit,0.02%,2
Intune Networks,0.01%,1
Inventure Systems,0.01%,1
Invidi Technologies,0.01%,1
Invisible College,0.04%,5
Invisible Worlds,0.03%,4
IOHK,0.01%,1
Iometrix,0.01%,1
Ionos,0.01%,1
Ionos Corp,0.01%,1
Ionos Corp.,0.01%,1
Ionos Network,0.01%,1
Ionos Networks,0.02%,2
IoT Square,0.01%,1
IoTconsultancy.nl,0.01%,1
IoTeX,0.01%,1
IoTrust,0.01%,1
IoTsense,0.01%,1
IP ArchiTechs,0.01%,1
IP Devices,0.01%,1
IP Highway,0.01%,1
IP Infusion,0.12%,16
IP Multicast Initiative,0.01%,1
IPA,0.01%,1
iPass,0.01%,1
iPath Services,0.01%,1
IPC Systems,0.01%,1
IPCom,0.01%,1
IPfonix,0.01%,1
IPHighway,0.02%,2
IPInfusion,0.04%,5
iPlanet e-commerce Solutions,0.01%,1
iPost,0.01%,1
IPR Systems,0.01%,1
Ipsilon,0.01%,1
Ipsilon Networks,0.02%,3
IPSw,0.01%,1
IPTC,0.02%,2
iptel.org,0.01%,1
ipUnplugged,0.03%,4
ipUnplugged AB,0.01%,1
IPv4 Unicast Extensions Project,0.02%,3
ipVerse,0.02%,2
IR,0.01%,1
iRam Technologies,0.01%,1
ircd-ratbox,0.01%,1
ircdocs,0.01%,1
"IRIF, University of Paris",0.02%,2
"IRIF, University of Paris-Cité",0.01%,1
"IRIF, University of Paris-Diderot",0.04%,5
"IRIF, Université Paris Cité",0.01%,1
Iris,0.01%,1
Iris Assoc.,0.01%,1
Iris Associates,0.02%,2
Iris Labs,0.02%,2
IRISA-France,0.02%,2
IRISA/INRIA Rennes,0.01%,1
IRIT,0.02%,2
Iron Mountain,0.01%,1
Iron Mountain Data Centers,0.01%,1
IronBridge Networks,0.04%,5
IRS-EMT,0.01%,1
IRTF,0.01%,1
IS Consulting G.K.,0.01%,1
ISAE,0.02%,2
ISAE - Supaero,0.02%,2
"ISAE, Univ. of Toulouse",0.01%,1
ISAE-SUPAERO,0.04%,5
ISAE/LAAS-CNRS,0.02%,2
ISAMET,0.01%,1
ISARA Corporation,0.02%,2
ISATAP Dot Org,0.01%,1
ISC,0.17%,22
ISI,0.18%,24
ISI/LBNL,0.01%,1
ISI/USC,0.01%,1
ISO,0.02%,2
ISO/IEC JTC 1/SC 6/WG 9,0.01%,1
ISOC,0.07%,9
Isochrome,0.01%,1
isochrone,0.01%,1
Isocore,0.01%,1
Isode,0.05%,7
ISODE Consortium,0.02%,3
Isode Limited,0.04%,5
ISOEG,0.01%,1
ISPSoft,0.01%,1
Israeli Inter-University,0.01%,1
ISRG,0.03%,4
ISSN International Centre,0.02%,2
IST/INESC-ID/INOV,0.02%,2
IST/INOV,0.01%,1
ISTI-CNR,0.02%,2
Istituto Poligrafico e Zecca dello Stato,0.01%,1
"ISTRAC, ISRO",0.01%,1
IT Aveiro,0.02%,2
"IT-Security, RWTH Aachen",0.01%,1
IT/TB,0.01%,1
IT/Telecom Bretagne,0.01%,1
iTCD/CSUMB,0.01%,1
"ITEC, Universidade Federal do Para",0.01%,1
"ITRI, AIST",0.02%,3
Itron,0.04%,5
iTSCOM,0.01%,1
ITT A/CD,0.01%,1
ITT/NRL,0.01%,1
ITU,0.01%,1
ITU-T,0.01%,1
ITUA,0.01%,1
Itumi,0.01%,1
iVMG,0.01%,1
Ixia,0.09%,12
iXXi,0.01%,1
Izenpe,0.01%,1
J-S. Jin,0.01%,1
J. Alvinen,0.01%,1
J. Benoit,0.01%,1
J. Hsu,0.01%,1
J. Jean-Marc,0.01%,1
J. Jumarasamy,0.01%,1
J. Le Boudec,0.01%,1
J. Lennox,0.01%,1
J. Paillisse Vilanova,0.01%,1
J. Quittek,0.01%,1
J. Rafferty,0.02%,2
J. Touch,0.01%,1
J. W. Pace,0.01%,1
J. Williams,0.01%,1
J. Yoakum,0.01%,1
J.-P. Vasseur,0.01%,1
J.koga,0.01%,1
Jabber,0.02%,2
Jabber Software Foundation,0.02%,2
Jabberwocky Tech,0.01%,1
Jabil,0.02%,3
Jack Klecha,0.01%,1
Jackpine Technolgies Corp.,0.02%,2
Jacobs University,0.03%,4
Jacobs University Bremen,0.03%,4
Jacobs University Bremen g,0.01%,1
Jagiellonian University,0.01%,1
Jagornet Technologies,0.01%,1
JAIST,0.03%,4
James Fu,0.01%,1
James Gilroy,0.01%,1
James Hogg Research Centre,0.02%,2
James Kempf,0.01%,1
Jan Algermissen Solutions Engineering,0.01%,1
Janardhanan Pathangi Narasimhan,0.01%,1
Janet,0.02%,2
JANET (UK),0.01%,1
JANET Web Cache Service,0.01%,1
JANET(UK),0.02%,2
JANET-CERT,0.01%,1
Japan Advanced Institute of,0.02%,2
Japan Blockchain Association,0.01%,1
Japan Digital Design,0.01%,1
Japan Electronic Publishing Association,0.01%,1
Japan FM Network,0.01%,1
Japan Internet Exchange,0.02%,2
Japan Internet Exchange Co.,0.01%,1
Japan Network Enabler,0.01%,1
Japan Network Enabler Corporation,0.01%,1
Japan Registry Services Co.,0.01%,1
Japan Satellite Systems,0.01%,1
Japan Telecom,0.02%,2
Jari T. Malinen,0.01%,1
Jasmine Networks,0.01%,1
Jasomi Networks,0.01%,1
Jay Kumarasamy,0.02%,3
JCP-Consult,0.01%,1
JDCA,0.01%,1
jdrosen.net,0.01%,1
JDS Consultant,0.01%,1
JDS Consulting,0.01%,1
JDSU,0.01%,1
Jean-Marie Bonnin,0.01%,1
Jean-Philippe Vasseur,0.02%,2
Jean-Yves Le Boudec,0.02%,3
Jeff Doyle and Associates,0.01%,1
Jefferson Wells,0.01%,1
Jeffrey Altman,0.01%,1
Jeju Nat. Univ.,0.02%,3
JEJU Technopark,0.01%,1
JellyHive,0.01%,1
Jerry Maziarski,0.01%,1
Jerusalem College of Technology,0.01%,1
Jet Propulsion Lab,0.01%,1
Jet Propulsion Laboratory,0.03%,4
JetLend,0.01%,1
JHU,0.01%,1
JHU APL,0.02%,2
JHU Applied Physics Lab,0.01%,1
JHU-APL,0.01%,1
JHU/APL,0.06%,8
Jian JIN,0.01%,1
Jian Zhang,0.02%,2
Jian-feng Guan,0.01%,1
Jiangsu Internet-of-Things,0.02%,2
Jim Jones,0.01%,1
Jim Randell,0.01%,1
Jinan University,0.02%,2
JinHyeock Choi,0.02%,2
Jio Reliance,0.01%,1
Jisc,0.04%,5
JIT,0.01%,1
Jitsi,0.01%,1
Jive Communications,0.02%,3
Jiyoung Cho,0.01%,1
JL Le Roux,0.01%,1
JLC.net,0.01%,1
JM Lee,0.01%,1
JMPC,0.01%,1
Joan Feigenbaum,0.01%,1
Joe Touch,0.01%,1
Joerg Ott,0.01%,1
John Ioannidis,0.01%,1
Johns Hopkins Applied Physics Laboratory,0.04%,5
Johns Hopkins Univ,0.01%,1
Johns Hopkins Univ.,0.01%,1
Johns Hopkins University,0.06%,8
Johns Hopkins University Applied,0.01%,1
Johns Hopkins University Applied Physics Lab,0.02%,2
Johns Hopkins University Applied Physics Laboratory,0.01%,1
Johns Hopkins University/APL,0.01%,1
Johnson Controls,0.02%,3
JOIN (University of Muenster),0.01%,1
JOIN (WWU),0.01%,1
Joint Research Centre of the E.C.,0.01%,1
Jon Cargille,0.01%,1
Jon Knight,0.01%,1
Jon Peterson,0.01%,1
Josh Tseng,0.01%,1
Jozef Stefan Institute,0.01%,1
JP Morgan Chase,0.01%,1
JP Vasseur,0.01%,1
JPCERT/CC,0.01%,1
"JPL, Calif. Inst. Of Technology",0.02%,3
JPNIC,0.02%,2
JPRS,0.04%,5
Jr.,0.03%,4
"JSC ""NPK Kryptonite""",0.01%,1
JSF,0.01%,1
JSON.org,0.01%,1
JSOND.org,0.01%,1
Juan Hernandez-Serrano,0.01%,1
Jun-Qi Duan,0.01%,1
Juniper,0.43%,57
Juniper Networks,1.71%,227
Juniper Networks.,0.01%,1
Junipr Networks,0.01%,1
Jupiter Technology,0.01%,1
JvNC,0.01%,1
K. DeSmedt,0.01%,1
K. Dobbins,0.01%,1
K. G. Shin,0.01%,1
K. Kartmann,0.01%,1
K. Leung,0.01%,1
K. Ma,0.01%,1
K. Meth,0.02%,2
K. Wierenga,0.02%,3
K.K. Tibanne,0.01%,1
K.L Srini,0.01%,1
Ka-Cheong Leung,0.01%,1
KAIST,0.08%,10
Kakao Corp.,0.01%,1
Kaloom,0.01%,1
Kaman Sciences Corporation,0.01%,1
Kaminario,0.01%,1
Kamstrup A/S,0.01%,1
Kanazawa University,0.02%,2
Kansas State University,0.01%,1
Kapsch Business Com AG,0.01%,1
Karlsruhe Institute of Technology,0.02%,2
Karlsruhe Institute of Technology (KIT),0.01%,1
Karlstad University,0.04%,5
Kasthuri Kasthurirangan,0.01%,1
Kayote Networks,0.02%,2
Kazeon Systems,0.01%,1
KDDI,0.08%,10
KDDI Corporation,0.08%,10
KDDI Lab,0.01%,1
KDDI Labs,0.02%,3
KDDI Labs USA,0.01%,1
KDDI R&D,0.01%,1
KDDI R&D Lab,0.01%,1
KDDI R&D Laboratories,0.05%,6
"KDDI R&D Laboratories, Inc.",0.01%,1
KDDI R&D Labs,0.11%,14
KDDI R&D Labs.,0.02%,2
KDDI Research,0.03%,4
KDDI Technology,0.02%,3
KDDILab,0.01%,1
Keen.com,0.01%,1
kegel.com,0.01%,1
Keio Univ.,0.08%,10
Keio Univ./WIDE,0.01%,1
Keio Univ./WIDE Project,0.02%,2
Keio University,0.23%,31
Keio University / WIDE Project,0.01%,1
Keio University and WIDE,0.01%,1
Keio University/WIDE,0.01%,1
Keio University/WIDE Project,0.02%,2
Keio/WIDE,0.01%,1
Kenetec,0.01%,1
Kent Leung,0.01%,1
Kentik,0.01%,1
Keping Long,0.01%,1
KereniX,0.01%,1
Kerlink,0.02%,2
Kestrel Institute,0.01%,1
KETI,0.01%,1
Key Bridge,0.01%,1
KeyFactor,0.01%,1
Kielce University of Technology,0.01%,1
Kim Kinnear,0.01%,1
King's College London,0.02%,3
Kings College London,0.01%,1
King’s College London,0.01%,1
Kinney Consulting,0.01%,1
Kireeti Kompella,0.01%,1
Kirei,0.01%,1
Kirei AB,0.02%,2
KISA,0.12%,16
KIT,0.01%,1
Kitami Institute of Technology,0.01%,1
Kitterman Technical Services,0.01%,1
Kloud Services,0.01%,1
KMC Telecom Solutions,0.01%,1
KNU,0.04%,5
KoanLogic,0.02%,3
Kochi University of Technology,0.01%,1
KOEVOO,0.01%,1
Kongsberg Defense & Aerospace,0.01%,1
Konkuk University,0.02%,3
Kookmin Univ.,0.01%,1
Kookmin University,0.01%,1
Korea,0.01%,1
Korea Aerospace University,0.01%,1
Korea Electronics Technology Institute,0.01%,1
Korea Information Security Agency,0.02%,3
Korea Internet & Security Agency,0.03%,4
Korea Polytechnic University,0.01%,1
Korea Telecom,0.05%,7
Korea Telecom M.com Research Center,0.01%,1
Korea Telekom,0.01%,1
Korea U.,0.02%,2
Korea University,0.02%,3
Korea University of Technology,0.01%,1
Korea University/KT,0.01%,1
KOREATECH,0.02%,2
Koru Solutions,0.01%,1
Koshiro Mitsuya,0.02%,2
KPI,0.01%,1
KPN,0.02%,2
KPNQwest,0.01%,1
KPU,0.01%,1
krishna Gundamaraju,0.01%,1
KSA,0.01%,1
KT,0.23%,30
KT Advanced Technology Lab,0.02%,2
KT Infra R&D Center,0.03%,4
KTC,0.01%,1
KTF,0.01%,1
KTF Advanced Lab,0.01%,1
KTH,0.05%,6
KTH Royal Institute of Technology,0.01%,1
KTHNOC,0.02%,2
KU,0.01%,1
KU Leuven,0.02%,2
Kuatro Technologies,0.02%,2
Kudelski Security,0.02%,2
KUL,0.02%,2
Kuntal Chowdhury,0.02%,2
Kuokoa Networks,0.01%,1
KUT,0.01%,1
Kyoto University,0.10%,13
Kyoung-pook National University,0.01%,1
Kyung Hee University,0.11%,15
Kyungpook National University,0.09%,12
Kyushu Univ.,0.01%,1
L-3 Com,0.01%,1
L-3 Communications,0.02%,3
L. Gommans,0.01%,1
L. Gwon,0.01%,1
l. Jiang,0.01%,1
L. Li,0.02%,2
L. Ong,0.02%,2
L. Pasteur University/SIP,0.01%,1
L. Xia,0.01%,1
L.J.Tang,0.01%,1
L.Phifer,0.01%,1
L7TR,0.01%,1
LAAS,0.02%,3
LAAS-CNRS,0.01%,1
Lab126,0.01%,1
LabN,0.01%,1
LabN Consulting,0.02%,2
"LabN Consulting, L.L.C.",0.04%,5
"LabN Networks, L.L.C.",0.01%,1
Laboratories for,0.01%,1
Laboratory for,0.01%,1
Laboratory for Telecommunications,0.01%,1
Lachman Technology,0.01%,1
LACNIC,0.05%,7
Lakeside Robotics Corporation,0.01%,1
Lancaster University,0.02%,2
LANL,0.02%,2
LANL/UCSD,0.01%,1
Lantern Communications,0.01%,1
Lanworks Technologies,0.02%,2
Lapishills Consulting Limited,0.01%,1
Last Press Label,0.01%,1
Latin American and Caribbean IP Address Regional Registry,0.01%,1
Laurel Networks,0.02%,3
Lavabit,0.01%,1
Lawrence Berkeley Laboratory,0.02%,2
Lawrence Berkeley National,0.02%,3
Lawrence Berkeley National Lab,0.02%,2
Lawrence Berkeley National Laboratory,0.02%,3
Layer8 Networks,0.01%,1
Layered Media,0.01%,1
LBL,0.01%,1
LBNL,0.03%,4
Leadcoretech,0.01%,1
Lectrosonics,0.01%,1
Legra Systems,0.01%,1
Lei. zhu,0.01%,1
Leibniz Supercomputing Centre,0.02%,3
Leibniz Uni-Hannover,0.01%,1
Lemur Networks,0.01%,1
Lepidum,0.05%,6
Lepidum Co.,0.04%,5
Les-Tilleuls.coop,0.01%,1
Let's Encrypt,0.02%,2
Level 3,0.01%,1
Level 3 Communications,0.01%,1
Level3,0.01%,1
Level3 Communications,0.02%,3
Levon Esibov,0.01%,1
Lexmark,0.01%,1
Lexmark International,0.01%,1
LG Electronics,0.01%,1
LG Information & Communications,0.01%,1
LG U+,0.03%,4
LG Uplus,0.01%,1
LGERCA,0.01%,1
LGIC,0.01%,1
Li-Li Wang,0.01%,1
Liaison,0.01%,1
Liberate,0.01%,1
Liberate Technologies,0.01%,1
Library of Congress,0.03%,4
libssh,0.01%,1
Lieberman Software,0.01%,1
Liem Nguyen,0.02%,2
Lightside Instruments AS,0.01%,1
Lilac Cloud,0.01%,1
Limelight Networks,0.02%,2
LIMOS Laboratory,0.01%,1
lin. Jiao,0.01%,1
LINAGORA,0.02%,2
Linagora Vietnam,0.01%,1
Linaro,0.02%,3
Lincoln Laboratory,0.02%,2
LINCS,0.02%,2
Linden Lab,0.01%,1
Linden Research,0.04%,5
Line Plus,0.02%,2
Linear Technology,0.02%,2
link-lab,0.01%,1
link-lab & FU Berlin,0.01%,1
link-lab & FU Berlin,0.01%,1
LinkedIn,0.06%,8
LINKS Foundation,0.02%,2
Linköping University,0.01%,1
Linova,0.01%,1
LinuxMagic,0.02%,2
LINX,0.01%,1
LIP,0.01%,1
LIP6,0.02%,2
LIP6 UPMC,0.01%,1
Liquid Intelligent Technologies,0.01%,1
Liquid Telecom,0.02%,2
lispers.net,0.01%,1
LIST,0.01%,1
Litchfield Communications,0.02%,2
LiteSpeed Technologies,0.01%,1
Little River Elementary School,0.01%,1
Live Media Pty.,0.01%,1
Live Networks,0.01%,1
LIVE.COM,0.01%,1
Livingston,0.02%,2
LIX,0.01%,1
"LIX, Ecole Polytechnique",0.04%,5
LJMU,0.01%,1
Lloyd Internetworking,0.02%,2
LM Ericsson,0.03%,4
LMU,0.01%,1
LMU Munich,0.01%,1
LNCC,0.02%,2
"LNT, Munich Univ. of",0.01%,1
Lobaro UG,0.01%,1
Lockheed,0.01%,1
Lockheed Martin,0.02%,2
Lockheed Martin Corporation,0.01%,1
Loco-labs,0.01%,1
Locus Telecom,0.01%,1
Locus Telecommunications,0.01%,1
Logica,0.01%,1
LogicaCMG,0.01%,1
Logical Elegance,0.01%,1
Logicalelegance,0.01%,1
LONAP,0.01%,1
London Internet Exchange,0.01%,1
LongBoard,0.01%,1
Lookingglass,0.01%,1
LookingGlass Cyber,0.01%,1
Loon,0.01%,1
Lord of the Hosts,0.01%,1
LORIA/INRIA-Lorraine,0.02%,2
Los Alamos National Laboratory,0.02%,3
Lotus,0.01%,1
Lotus Development Corporation,0.04%,5
Loudcloud,0.02%,2
Loughborough University,0.03%,4
Louis Pasteur University,0.01%,1
Loutfi Nuaymi,0.01%,1
LSIIT,0.03%,4
LTS,0.01%,1
"LTS, U. of Maryland",0.01%,1
LTU,0.01%,1
Luca Dell'Uomo,0.01%,1
Lucent,0.10%,13
Lucent Tech,0.01%,1
Lucent Technologies,0.63%,84
Lucent Technologies Bell Laboratories,0.03%,4
Lucent Technologies Microelectronics Group,0.01%,1
Lucent Technologies/Bell,0.01%,1
Lucent Technologies/Bell Laboratories,0.01%,1
Lucent Technology,0.01%,1
Lucid Vision,0.01%,1
LucidVision,0.01%,1
Luiginius,0.01%,1
Lulea University of Technology,0.01%,1
Lulea University of Technology,0.05%,6
Lulea University of Technology/SICS,0.02%,2
Lulea University of Technology/Telia Research AB,0.01%,1
Lumen,0.01%,1
Lumen Technologies,0.02%,2
Lumina Networks,0.01%,1
Luminate Wireless,0.01%,1
LUMS,0.02%,2
Lund University,0.01%,1
Lunds Tekniska Hogskola,0.01%,1
Lupin Lodge,0.01%,1
LuTH/CDT,0.01%,1
Luxembourg Institute of Science and Technology,0.01%,1
Lycium Networks,0.01%,1
Lyft,0.01%,1
M.,0.01%,1
M. Allman,0.01%,1
M. C. Betts Consulting,0.01%,1
M. Calderon,0.01%,1
M. Catalina-Gallego,0.01%,1
M. Hinckley,0.01%,1
M. Hofmann,0.01%,1
M. Karsten,0.01%,1
M. Kosters,0.01%,1
M. Makaraju,0.01%,1
M. Maknavicius,0.01%,1
M. Martin,0.01%,1
M. Mealling,0.01%,1
M. Naslund,0.01%,1
M. Thomas,0.01%,1
M. V. Sahalayev,0.01%,1
M. Wasserman,0.01%,1
M. xiao,0.01%,1
M. Yanagiya,0.01%,1
M. Zitterbart,0.01%,1
M.I.T.,0.02%,3
M.M. Hanuksela,0.02%,2
M.Yanagiya,0.01%,1
M2Soft,0.01%,1
MacFergus,0.01%,1
Mach. Chen,0.01%,1
Macromedia Corporation,0.01%,1
Madge Networks,0.01%,1
Maebashi Kyoai Gakuen College,0.02%,3
Magic Leap,0.01%,1
Magnalink,0.02%,3
Magnum Semiconductor,0.01%,1
Magyar Telekom,0.01%,1
Mail Abuse Prevention System,0.01%,1
Mailpile ehf,0.01%,1
Mailvision,0.01%,1
Mainbrace,0.01%,1
Major League Baseball Advanced Media,0.01%,1
Malibu Networks,0.02%,2
Malis Consulting,0.01%,1
Malpani Consulting Services,0.01%,1
Mandat International,0.02%,2
Mangrove Systems,0.01%,1
Manifest Solutions,0.01%,1
Manish Tiwari,0.01%,1
Mapbox,0.01%,1
MapR Technologies,0.01%,1
Marben Products,0.02%,2
Marconi,0.06%,8
Marconi Communications,0.04%,5
Marconi Corporation,0.01%,1
Marimba,0.02%,2
Mark Stapp,0.02%,2
Martha Steenstrup,0.01%,1
Martin J Reed,0.02%,3
Martti Huttunen,0.01%,1
Marvell,0.05%,7
Mascon Global Limited,0.01%,1
MASQUE Enthusiasts,0.01%,1
Massachusetts Institute of,0.02%,2
Massachusetts Institute of Technology,0.02%,3
Massar Networking,0.01%,1
Master Consultant,0.01%,1
Matrium Technologies,0.01%,1
Matsushita,0.06%,8
Matsushita Electric Industrial,0.01%,1
Matt Cannon,0.02%,2
Matt Hur,0.01%,1
MATTR,0.04%,5
Mavenier,0.01%,1
Mavenir,0.01%,1
Mavenir Systems,0.01%,1
Mavenir Systems Pvt,0.01%,1
mavennet,0.01%,1
Max Planck Institute for Software,0.01%,1
Max-Planck-Institut fuer Informatik,0.01%,1
Maxim Integrated Products,0.01%,1
Maxware,0.01%,1
Maxware AS,0.01%,1
"Maxware, Pirsenteret",0.01%,1
McAfee,0.04%,5
McDATA,0.02%,3
McDATA Corporation,0.02%,3
McGill University,0.01%,1
MCI,0.11%,14
MCI Systemhouse,0.01%,1
MCI Telecommunications Corp.,0.01%,1
MCI WorldCom,0.05%,6
